Title, Link_URL, State
Andalusia Star News,https://www.andalusiastarnews.com/,alabama
The Anniston Star,https://www.annistonstar.com/,alabama
Atmore Advance,https://www.atmoreadvance.com/,alabama
The Auburn Plainsman,https://www.theplainsman.com/,alabama
Birmingham Business Journal,http://birmingham.bcentral.com/birmingham/,alabama
The Birmingham News,https://www.alabamamediagroup.com/brands/,alabama
Birmingham Post-Herald,http://ww17.postherald.com/,alabama
Birmingham Times Weekly,http://www.thebirminghamtimes.com/,alabama
The Brewton Standard,https://www.brewtonstandard.com/,alabama
Clanton Advertiser,https://www.clantonadvertiser.com/,alabama
Cleburne News,https://www.annistonstar.com/cleburne_news/,alabama
Coosa County News,https://www.hugedomains.com/domain_profile.cfm?d=coosanews&e=com,alabama
Crimson White,https://cw.ua.edu/,alabama
The Cullman Times,https://www.cullmantimes.com/,alabama
The Daily Home,https://www.annistonstar.com/the_daily_home/,alabama
Daily Mountain Eagle,http://www2.mountaineagle.com/,alabama
The Daily Sentinel,http://jcsentinel.com/,alabama
The Decatur Daily,https://www.decaturdaily.com/,alabama
Demopolis Times,https://www.demopolistimes.com/,alabama
The Dothan Eagle,https://dothaneagle.com/,alabama
Enterprise Ledger,https://dothaneagle.com/enterprise_ledger/,alabama
Fort Payne Times Journal,https://times-journal.com/,alabama
Franklin County Times,https://franklincountytimes.com/,alabama
Gadsden Messenger,https://gadsdenmessenger.com/,alabama
Gadsden Times,https://www.gadsdentimes.com/,alabama
Greenville Advocate,https://www.greenvilleadvocate.com/,alabama
Hartselle Enquirer,https://hartselleenquirer.com/,alabama
Huntsville Times,https://www.alabamamediagroup.com/,alabama
Jacksonville News,https://www.annistonstar.com/jacksonville_news/,alabama
Ledger-Enquirer,https://www.ledger-enquirer.com/,alabama
The Monroe Journal,https://www.monroejournal.com/,alabama
Montgomery Advertiser,https://www.montgomeryadvertiser.com/,alabama
Opelika-Auburn News,https://oanow.com/,alabama
The Oxford Independent,http://www.oxfordi.com/mPRMc/QZMOh/nZUWb/gnbQe/RRfXZ/SKSPo/,alabama
Pickens County Herald,http://theherald.pickens.net/,alabama
Selma Times Journal,https://www.selmatimesjournal.com/,alabama
Sumpter County Record-Journal,http://www.recordjournal.net/,alabama
Times Daily,https://www.timesdaily.com/,alabama
The Tropolitan,http://trop.troyst.edu/,alabama
Troy Messenger,https://www.troymessenger.com/,alabama
The Tuscaloosa News,https://www.tuscaloosanews.com/,alabama
The Valley Times-News,https://www.valleytimes-news.com/,alabama
The Weekly Post,https://times-journal.com/,alabama
Alaska Journal of Commerce,https://www.alaskajournal.com/,alaska
Alaska Star,https://www.alaskastar.com/,alaska
Anchorage Daily News,https://www.adn.com/,alaska
Anchorage Press,https://www.anchoragepress.com/,alaska
Eagle Eye News,https://www.buydomains.com/lander/eagleyenews.com?domain=eagleyenews.com&utm_source=eagleyenews.com&utm_medium=click&utm_campaign=TDFS-OO-BDLander_Invisible&traffic_id=TDFS-OO-BDLander_Invisible&traffic_type=tdfs&redirect=ono-redirect,alaska
Fairbanks Daily News-Miner,http://www.newsminer.com/,alaska
Juneau Empire,https://www.juneauempire.com/,alaska
Ketchikan Daily News,https://www.ketchikandailynews.com/,alaska
Kodiak Daily Mirror,http://www.ptialaska.net/~kdmnews/,alaska
Nome Nugget,http://www.nomenugget.com/,alaska
Peninsula Clarion,https://www.peninsulaclarion.com/,alaska
Petroleum News Alaska,https://www.PetroleumNews.com,alaska
Wasilla Frontiersman,https://www.frontiersman.com/,alaska
Arizona Newspapers Association,https://ananews.com/,arizona
Ahwatukee Foothills News,https://www.ahwatukee.com/,arizona
Ajo Copper News,http://tabletoptelephone.com/~cunews/,arizona
Arizona Business Gazette,https://www.azcentral.com/business/,arizona
Arizona Capitol Times,https://azcapitoltimes.com/,arizona
The Arizona Daily Star,https://tucson.com/,arizona
The Arizona Daily Sun,https://azdailysun.com/,arizona
Arizona Range News,https://www.myheraldreview.com/news/willcox/,arizona
The Arizona Republic,https://www.azcentral.com/,arizona
Arizona Senior World,http://seniormedia.com/,arizona
Arizona Tourist News,http://www.aztourist.com/,arizona
Bajo El Sol,http://www.bajoelsol.com/,arizona
The Big Bug News,https://www.dcourier.com/,arizona
