AL,Alexander City,30:00.6
AL,Bay Minette,30:44.3
AL,Camp Hill,31:47.3
AL,Carbon Hill,31:48.0
AL,Double Springs,32:51.5
AL,Fort Payne,33:39.1
AL,Frisco City,33:40.0
AL,Grove Hill,34:20.2
AL,Hazel Green,34:40.3
AL,Laceys Spring,35:14.5
AL,Midland City,35:46.3
AL,Muscle Shoals,36:24.5
AL,New Hope,36:25.3
AL,Pell City,36:46.4
AL,Phenix City,36:47.2
AL,Pleasant Grove,36:51.5
AL,Red Bay,36:59.2
AL,Town Creek,37:55.5
AL,Union Springs,38:21.7
AL,Valley Head,38:28.7
AK,Eagle River,38:56.6
AK,North Pole,39:10.5
AZ,Apache Junction,39:22.6
AZ,Bullhead City,39:32.1
AZ,Camp Verde,39:32.9
AZ,Casa Grande,39:33.7
AZ,Chino Valley,39:37.0
AZ,El Mirage,39:47.0
AZ,Fort Mohave,39:55.8
AZ,Fountain Hills,39:56.7
AZ,Lake Havasu City,40:15.8
AZ,Mohave Valley,40:31.5
AZ,Prescott Valley,41:11.1
AZ,Saint David,41:15.4
AZ,Show Low,41:24.0
AZ,Sierra Vista,41:24.9
AZ,Sun City,41:29.2
AZ,Sun City West,41:30.0
AZ,Tuba City,41:41.4
AR,Bald Knob,42:23.5
AR,Bella Vista,42:33.6
AR,Bull Shoals,43:00.0
AR,Calico Rock,43:02.5
AR,Cave City,43:10.4
AR,De Queen,43:32.4
AR,De Witt,43:33.3
AR,Des Arc,43:37.6
AR,El Dorado,43:47.0
AR,Eureka Springs,43:53.9
AR,Forrest City,44:02.7
AR,Fort Smith,44:03.4
AR,Green Forest,44:07.7
AR,Heber Springs,44:24.9
AR,Horseshoe Bend,44:34.4
AR,Hot Springs Village,44:35.2
AR,Junction City,44:52.5
AR,Lake Village,44:53.3
AR,Little Rock,44:57.7
AR,Mammoth Spring,45:12.0
AR,Marked Tree,45:20.8
AR,Mc Crory,45:27.7
AR,Mc Gehee,45:28.5
AR,Mount Ida,45:45.7
AR,Mountain Home,45:46.6
AR,Mountain View,45:47.4
AR,North Little Rock,45:56.7
AR,Pea Ridge,46:09.7
AR,Pine Bluff,46:15.7
AR,Prairie Grove,46:19.1
AR,Siloam Springs,46:45.8
AR,Star City,46:54.3
AR,Van Buren,47:10.9
AR,Walnut Ridge,47:13.3
AR,West Helena,47:16.0
AR,West Memphis,47:16.7
AR,White Hall,47:17.6
CA,Angels Camp,47:41.6
CA,Apple Valley,47:45.8
CA,Arroyo Grande,47:52.4
CA,Baldwin Park,48:32.2
CA,Bell Gardens,48:43.6
CA,Big Bear City,49:06.4
CA,Bodega Bay,49:12.4
CA,Boulder Creek,49:15.8
CA,Buena Park,49:26.3
CA,Canoga Park,49:48.8
CA,Canyon Country,49:49.6
CA,Castro Valley,50:00.9
CA,Cathedral City,50:01.7
CA,Chino Hills,50:20.5
CA,Chula Vista,50:23.0
CA,Citrus Heights,50:23.9
CA,City of Industry,50:24.7
CA,Corona del mar,51:02.7
CA,Corte Madera,51:03.6
CA,Costa Mesa,51:04.4
CA,Crescent City,51:09.2
CA,Culver City,51:11.8
CA,Daly City,51:15.3
CA,Dana Point,51:16.1
CA,Desert Hot Springs,51:24.7
CA,Dos Palos,51:29.9
CA,El Cajon,51:38.6
CA,El Centro,51:39.4
CA,El Cerrito,51:40.2
CA,El Granada,51:41.0
CA,El Monte,51:41.8
CA,El Segundo,51:42.6
CA,El Sobrante,51:43.4
CA,Elk Grove,51:44.2
CA,Fair Oaks,52:07.4
CA,Fort Bragg,52:30.2
CA,Garden Grove,53:22.8
CA,Grass Valley,53:38.5
CA,Grover Beach,53:42.0
CA,Half Moon Bay,53:44.6
CA,Huntington Beach,54:21.7
CA,Huntington Park,54:22.5
CA,Imperial Beach,54:23.3
CA,Joshua Tree,54:37.0
CA,King City,54:41.8
CA,La Crescenta,54:44.3
CA,La Habra,54:45.1
CA,La Mesa,54:45.9
CA,La Mirada,54:46.7
CA,Laguna Beach,54:50.0
CA,Laguna Hills,54:50.8
CA,Laguna Niguel,54:51.7
CA,Lake Elsinore,54:52.5
CA,Lake Forest,54:53.3
CA,Lake Isabella,54:54.2
CA,Lemon Grove,55:09.4
CA,Loma Linda,55:27.6
CA,Lone Pine,55:32.7
CA,Long Beach,55:33.6
CA,Los Altos,55:34.3
CA,Los Angeles,55:35.1
CA,Los Banos,55:35.9
CA,Los Gatos,55:36.7
CA,Los Osos,55:37.5
CA,Lower Lake,55:38.4
CA,Manhattan Beach,55:40.9
CA,Menlo Park,55:54.9
CA,Midway City,56:01.2
CA,Mill Valley,56:02.0
CA,Mira Loma,56:06.4
CA,Mission Hills,56:07.1
CA,Mission Viejo,56:07.9
CA,Monterey Park,56:31.4
CA,Moreno Valley,56:34.0
CA,Morgan Hill,56:34.8
CA,Morro Bay,56:35.6
CA,Mount Shasta,56:36.5
CA,Mountain View,56:37.3
CA,Myers Flat,56:39.9
