Title,Url,State
Anniston Star,https://www.annistonstar.com/,alabama
Cullman Times,https://www.cullmantimes.com,alabama
AL.com,https://www.al.com,alabama
Jasper Daily Mountain Eagle,http://www.mountaineagle.com/,alabama
The Alexander City Outlook,https://www.alexcityoutlook.com/,alabama
Daily Sentinel,http://www.thedailysentinel.com/,alabama
Dothan Eagle,http://www.dothaneagle.com/,alabama
Decatur Daily,http://www.decaturdaily.com/,alabama
Gadsden Times,http://www.gadsdentimes.com/,alabama
Ledger-Enquirer,https://www.ledger-enquirer.com/,alabama
Hartselle Enquirer,http://www.hartselleenquirer.com/,alabama
News Courier,http://www.enewscourier.com/,alabama
Times Journal,http://www.times-journal.com/,alabama
Montgomery Advertiser,https://www.montgomeryadvertiser.com/,alabama
Tuscaloosa News,http://www.tuscaloosanews.com/,alabama
Times Daily,http://www.timesdaily.com/,alabama
Opelika-Auburn News,http://www.oanow.com/,alabama
Ketchikan Daily News,https://www.ketchikandailynews.com/,alaska
Anchorage Daily News,https://www.adn.com/,alaska
Juneau Empire,https://juneauempire.com/,alaska
Daily Sitka Sentinel,http://sitkasentinel.com/,alaska
Kodiak Daily Mirror,http://www.kodiakdailymirror.com/,alaska
Fairbanks Daily News-Miner,http://www.newsminer.com/,alaska
Arizona Daily Sun,https://azdailysun.com/,arizona
Douglas Dispatch,https://www.douglasdispatch.com,arizona
Mohave Daily News,http://www.mohavedailynews.com/,arizona
Today's News Herald,https://www.havasunews.com,arizona
East Valley Tribune,http://www.eastvalleytribune.com/,arizona
Arizona Daily Star,https://tucson.com/,arizona
My Herald Review,https://www.myheraldreview.com,arizona
Kingman Daily Miner,http://kdminer.com/,arizona
Prescott Courier,https://www.dcourier.com/,arizona
The Arkansas Democrat-Gazette,https://www.arkansasonline.com/,arkansas
Batesville Daily Guard,https://guardonline.com/,arkansas
Saline Courier,https://www.bentoncourier.com/,arkansas
Log Cabin Democrat,https://www.thecabin.net/,arkansas
Times Record,http://www.swtimes.com/,arkansas
Camden News,http://www.camdenarknews.com/,arkansas
Northwest Arkansas Democrat-Gazette,http://www.nwaonline.com/,arkansas
El Dorado News-Times,http://www.eldoradonews.com/,arkansas
Times-Herald,http://thnews.com/,arkansas
Hope Star,http://www.hopestar.com/,arkansas
Daily Times,http://harrisondaily.com/,arkansas
Sentinel-Record,http://www.hotsr.com/,arkansas
Daily Record,https://www.dailyrecord.us/,arkansas
Jonesboro Sun,http://www.jonesborosun.com/,arkansas
Magnolia Banner News,http://www.magnoliabannernews.com/,arkansas
Baxter Bulletin,https://www.baxterbulletin.com/,arkansas
Daily Record,https://www.malvern-online.com/,arkansas
Paragould Daily Press,http://www.paragoulddailypress.com/,arkansas
The Searcy Daily Citizen,http://www.thedailycitizen.com/,arkansas
Pine Bluff Commercial,http://www.pbcommercial.com/,arkansas
Stuttgart Daily Leader,http://www.stuttgartdailyleader.com/,arkansas
West Memphis Evening Times,http://www.theeveningtimes.com/,arkansas
Texarkana Gazette,http://www.texarkanagazette.com/,arkansas
Colorado Daily,http://www.coloradodaily.com/,colorado
Gazette Colorado Springs,http://www.gazette.com/,colorado
Canon City Daily Record,http://www.canoncitydailyrecord.com/,colorado
Boulder Daily Camera,http://www.dailycamera.com/,colorado
Aspen Daily News,http://www.aspendailynews.com/,colorado
Craig Press,https://www.craigdailypress.com/,colorado
Fort Collins Coloradoan,https://www.coloradoan.com/,colorado
Durango Herald,https://durangoherald.com/,colorado
Loveland Reporter Herald,http://www.reporterherald.com/,colorado
Pueblo Chieftain,https://www.chieftain.com/,colorado
Montrose Press,http://www.montrosepress.com/,colorado
Vail Daily,https://www.vaildaily.com/,colorado
Fort Morgan Times,http://www.fortmorgantimes.com/,colorado
Grand Junction Sentinel,http://www.gjsentinel.com/,colorado
Summit Daily News,https://www.summitdaily.com/,colorado
Greeley Tribune,http://www.greeleytrib.com/,colorado
Longmont Times-Call,http://www.timescall.com/,colorado
La Junta Tribune-Democrat,http://www.lajuntatribunedemocrat.com/,colorado
Connecticut Post,https://www.ctpost.com/,connecticut
News-Times,https://www.newstimes.com/,connecticut
Manchester Journal Inquirer,http://www.journalinquirer.com/,connecticut
Middletown Press,https://www.middletownpress.com/,connecticut
Meriden Record Journal,http://www.myrecordjournal.com/,connecticut
Norwich Bulletin,http://www.norwichbulletin.com/,connecticut
Bristol Press,http://www.bristolpress.com/,connecticut
Willimantic Chronicle,https://www.thechronicle.com/,connecticut
Waterbury Republican-American,https://www.rep-am.com/,connecticut
New Haven Register,https://www.nhregister.com/,connecticut
The Hour Norwalk,https://www.thehour.com/,connecticut
New London Day,https://www.theday.com/,connecticut
Stamford Advocate,https://www.stamfordadvocate.com/,connecticut
Hartford Courant,http://www.courant.com/,connecticut
Greenwich Time,https://www.greenwichtime.com/,connecticut
Delaware State News,https://delawarestatenews.net/,delaware
News Journal Wilmington,https://www.delawareonline.com/,delaware
Milford Beacon Weekly newspaper,http://www.milfordbeacon.com/,delaware
Seaford Star De Weekly,http://www.seafordstar.com/,delaware
Anna Maria Island Sun,http://www.amisun.com/,florida
Alachua County Today,http://www.alachuatoday.com/,florida
Northwest Florida Daily News,http://www.nwfdailynews.com/,florida
Gainesville Sun,http://www.gainesville.com/,florida
Apalachicola Times,http://www.apalachtimes.com/,florida
County Record Blountstown,http://www.thecountyrecord.net/,florida
Voice of South Marion,http://www.thevosm.net/,florida
Palatka Daily News,http://www.palatkadailynews.com/,florida
Nassau County Record,http://www.nassaucountyrecord.com/,florida
Cape Coral Daily Breeze,http://www.cape-coral-daily-breeze.com/,florida
