Title, Link_URL, State
Alexander City Outlook,https://www.alexcityoutlook.com/,alabama
"Anniston StarAnniston based newspaper serving Calhoun, Cherokee, Cleburne, Talladega, St. Clair, and Etowah counties of East Alabama.",https://www.annistonstar.com/,alabama
Birmingham NewsOne of the most widely circulated daily newspapers in Alabama.,https://www.al.com/birmingham/,alabama
Cullman TimesCullman County's daily newspaper owned by Community Newspaper Holdings.,https://www.cullmantimes.com/,alabama
Daily HomeServing talladega and St. Clair counties.,https://www.annistonstar.com/the_daily_home/,alabama
"Daily Mountain EagleDaily newspaper serving Jasper, Alabama.",https://www.mountaineagle.com/,alabama
Decatur DailyDecatur based daily newspaper serving north Alabama's Decatur and Tennessee Valley.,https://www.decaturdaily.com/,alabama
"Dothan EagleDaily newspaper published in Dothan, Alabama.",https://dothaneagle.com/,alabama
News Courier (Athens),https://www.enewscourier.com/,alabama
Enterprise Ledger,https://dothaneagle.com/community/enterprise-ledger/,alabama
"Gadsden TimesEveryday coverage delivered to Blount, Calhoun, Cherokee, DeKalb, Etowah, Marshall and St. Clair counties in Northeast Alabama.",https://www.gadsdentimes.com/,alabama
Hartselle Enquirer (Hartselle),https://hartselleenquirer.com/,alabama
"Ledger-EnquirerDistributed in Muscogee, Harris, Troup, Talboc, and Chattahoochee counties in Georgia and Russell and Lee counties in East Alabama.",https://www.ledger-enquirer.com/,alabama
Montgomery Advertiser,https://www.montgomeryadvertiser.com/,alabama
Opelika-Auburn News,https://oanow.com/,alabama
"Times DailyDaily newspaper published Florence, Alabama. The Times Daily distributed in Colbert, Lauderdale, Franklin, Marion, Winston and Lawrence counties.",https://www.timesdaily.com/,alabama
"Times-JournalDaily newspaper based in Fort Payne, Alabama and serving the DeKalb County. The newspaper owned by the Southern Newspapers.",https://times-journal.com/,alabama
"Tuscaloosa NewsFeaturing business, politics, weather, sports (football, baseball, basketball, golf, and volleyball ), entertainment, travel, real estate, and more.",https://www.tuscaloosanews.com/,alabama
Albertville Sand Mountain Reporter,https://www.sandmountainreporter.com/,alabama
Arab Arab Tribune,https://www.thearabtribune.com/,alabama
Andalusia Andalusia Star NewsCovington county's news and information source.,https://www.andalusiastarnews.com/,alabama
Atmore Atmore AdvanceThe newspaper published each Wednesday and Saturday. The Atmore Advance serving Atmore and Escambia counties.,https://www.atmoreadvance.com/,alabama
Atmore Atmore News,https://atmorenews.com/,alabama
Auburn Auburn Villager,https://www.auburnvillager.com/,alabama
Birmingham Alabama Baptist,https://thealabamabaptist.org/,alabama
Birmingham Alabama Messenger,https://www.alabamamessenger.com/,alabama
Birmingham Birmingham Times,https://www.birminghamtimes.com/,alabama
Birmingham Latino NewsWeekly Spanish-language newspaper in Alabama. The newspaper also distributed in Tennessee.,https://www.latino-news.com/,alabama
